trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,3,-199.37409098932238,"{0: 14, 1: 4, 2: 3, 3: 4, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-112.92047364488221,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-142.61734124647128,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-82.11115904786651,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-211.94908455610093,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-60.093039456206846,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,1,-82.84414240255803,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-62.27562057762846,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-71.1786522002003,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,9,-15.736982761871133,"{0: 12, 1: 3, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-127.22102889540722,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-17.650635450182605,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-55.1484873905809,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,-23.68485349710973,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,-12.61021986491825,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,1.3676199844013943,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,15.568319021186452,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,16.99935490645661,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,2.1168288340431456,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,10,22.592192462237755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,6,27.106280696295656,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,36.80327695550329,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,6,33.030041219752135,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,15.164744415632514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,19,8.422933159088052,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,1,28.579094097043654,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,9,41.182911914233486,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,9,24.23891950616876,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,24.299786888133013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,28.455219505428794,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
